Time(ms),Hall(mV),B(mT)
2575,659.1797,0.73
2596,732.4219,1.46
2617,844.7266,2.59
2637,1000.9766,4.15
2659,1235.3515,6.49
2681,1572.2656,9.86
2703,2006.8359,14.21
2725,2578.1250,19.92
2749,3188.4765,26.02
2771,3691.4062,31.05
2795,3959.9609,33.74
2818,3867.1875,32.81
2840,3461.9140,28.76
2864,2880.8593,22.95
2886,2275.3906,16.89
2909,1757.8125,11.72
2932,1362.3046,7.76
2954,1103.5156,5.18
2975,922.8516,3.37
2997,820.3125,2.34
3017,737.3047,1.51
3038,688.4766,1.02
3058,649.4141,0.63
3080,625.0000,0.39
3100,610.3516,0.24
3121,590.8203,0.05
3142,585.9375,-0.00
3164,576.1719,-0.10
3185,566.4063,-0.20
3208,561.5234,-0.24
3229,561.5234,-0.24
3250,551.7578,-0.34
3270,556.6406,-0.29
3291,546.8750,-0.39
3312,556.6406,-0.29
3334,556.6406,-0.29
3356,551.7578,-0.34
3378,556.6406,-0.29
3398,551.7578,-0.34
3419,556.6406,-0.29
3439,556.6406,-0.29
3461,551.7578,-0.34
3482,551.7578,-0.34
3505,551.7578,-0.34
3526,561.5234,-0.24
3547,566.4063,-0.20
3567,571.2891,-0.15
3588,581.0547,-0.05
3610,595.7031,0.10
3631,615.2344,0.29
3651,639.6484,0.54
3673,678.7109,0.93
3693,722.6563,1.37
3714,781.2500,1.95
3734,874.0234,2.88
3756,991.2109,4.05
3776,1157.2265,5.71
3798,1406.2500,8.20
3820,1757.8125,11.72
3843,2280.2734,16.94
3865,2900.3906,23.14
3889,3510.7421,29.25
3911,3901.3671,33.15
3934,3930.6640,33.45
3957,3598.6328,30.13
3980,3022.4609,24.36
4003,2412.1093,18.26
4026,1855.4687,12.69
4048,1430.6640,8.45
4071,1137.6953,5.52
4092,937.5000,3.51
4113,805.6641,2.20
4133,717.7734,1.32
4155,649.4141,0.63
4175,605.4688,0.19
4196,581.0547,-0.05
4218,551.7578,-0.34
4239,541.9922,-0.44
4259,527.3438,-0.59
4280,527.3438,-0.59
4301,527.3438,-0.59
4323,527.3438,-0.59
4345,532.2266,-0.54
4367,532.2266,-0.54
4388,541.9922,-0.44
4409,541.9922,-0.44
4429,537.1094,-0.49
4450,541.9922,-0.44
4471,532.2266,-0.54
4494,541.9922,-0.44
4515,532.2266,-0.54
4536,532.2266,-0.54
4556,541.9922,-0.44
4577,537.1094,-0.49
4598,541.9922,-0.44
4620,541.9922,-0.44
4642,537.1094,-0.49
4664,532.2266,-0.54
4684,532.2266,-0.54
4705,527.3438,-0.59
4725,527.3438,-0.59
4747,532.2266,-0.54
4768,537.1094,-0.49
4791,556.6406,-0.29
4812,576.1719,-0.10
4834,620.1172,0.34
4854,668.9453,0.83
4876,747.0703,1.61
4896,869.1406,2.83
4917,1035.1562,4.49
4939,1284.1796,6.98
4961,1611.3281,10.25
4983,2070.3125,14.84
5007,2622.0703,20.36
5029,3212.8906,26.27
5052,3735.3515,31.49
5075,3955.0781,33.69
5098,3803.7109,32.18
5121,3320.3125,27.34
5144,2714.8437,21.29
5167,2138.6718,15.53
5189,1660.1562,10.74
5213,1313.4765,7.27
5234,1074.2187,4.88
5256,913.0859,3.27
5277,810.5469,2.25
5298,737.3047,1.51
5318,683.5938,0.98
5340,654.2969,0.68
5360,629.8828,0.44
5381,605.4688,0.19
5402,590.8203,0.05
5423,585.9375,-0.00
5444,576.1719,-0.10
5467,561.5234,-0.24
5488,561.5234,-0.24
5510,556.6406,-0.29
5530,551.7578,-0.34
5551,551.7578,-0.34
5572,551.7578,-0.34
5594,546.8750,-0.39
5616,551.7578,-0.34
5638,556.6406,-0.29
5658,551.7578,-0.34
5679,556.6406,-0.29
5699,546.8750,-0.39
5721,561.5234,-0.24
5742,551.7578,-0.34
5765,556.6406,-0.29
5786,556.6406,-0.29
5807,556.6406,-0.29
5827,566.4063,-0.20
5848,576.1719,-0.10
5869,585.9375,-0.00
5892,595.7031,0.10
5912,610.3516,0.24
5933,629.8828,0.44
5954,664.0625,0.78
5975,703.1250,1.17
5995,761.7188,1.76
6017,834.9609,2.49
6037,957.0313,3.71
6057,1113.2812,5.27
6080,1352.5390,7.67
6102,1694.3359,11.08
6124,2167.9687,15.82
6148,2763.6718,21.78
6170,3388.6718,28.03
6193,3837.8906,32.52
6216,3955.0781,33.69
6239,3671.8750,30.86
6261,3139.6484,25.54
6285,2548.8281,19.63
6307,1997.0703,14.11
6330,1567.3828,9.81
6352,1240.2343,6.54
6374,1010.7422,4.25
6395,844.7266,2.59
6417,732.4219,1.46
6437,664.0625,0.78
6458,610.3516,0.24
6479,581.0547,-0.05
6501,556.6406,-0.29
6521,541.9922,-0.44
6543,527.3438,-0.59
6564,527.3438,-0.59
6587,532.2266,-0.54
6608,527.3438,-0.59
6630,532.2266,-0.54
6650,532.2266,-0.54
6671,537.1094,-0.49
6691,537.1094,-0.49
6713,537.1094,-0.49
6735,537.1094,-0.49
6757,532.2266,-0.54
6777,537.1094,-0.49
6798,541.9922,-0.44
6818,537.1094,-0.49
6840,537.1094,-0.49
6861,532.2266,-0.54
6884,537.1094,-0.49
6905,532.2266,-0.54
6926,532.2266,-0.54
6946,532.2266,-0.54
6967,532.2266,-0.54
6988,527.3438,-0.59
7010,527.3438,-0.59
7032,527.3438,-0.59
7054,546.8750,-0.39
7075,551.7578,-0.34
7096,581.0547,-0.05
7117,620.1172,0.34
7139,664.0625,0.78
7159,732.4219,1.46
7180,839.8438,2.54
7201,986.3281,4.00
7222,1201.1718,6.15
7243,1518.5546,9.33
7265,1933.5937,13.48
7288,2485.3515,18.99
7311,3081.0546,24.95
7334,3623.0468,30.37
7357,3935.5468,33.50
7379,3896.4843,33.10
7403,3481.4453,28.95
7426,2866.2109,22.80
7448,2246.0937,16.60
7472,1748.0468,11.62
7494,1376.9531,7.91
7516,1127.9296,5.42
7538,966.7969,3.81
7559,854.4922,2.68
7579,776.3672,1.90
7601,708.0078,1.22
7621,664.0625,0.78
7642,634.7656,0.49
7662,610.3516,0.24
7684,600.5859,0.15
7704,585.9375,-0.00
7726,576.1719,-0.10
7748,566.4063,-0.20
7769,561.5234,-0.24
7789,556.6406,-0.29
7810,551.7578,-0.34
7831,556.6406,-0.29
7853,556.6406,-0.29
7875,551.7578,-0.34
7897,551.7578,-0.34
7917,556.6406,-0.29
7938,551.7578,-0.34
7958,551.7578,-0.34
7980,556.6406,-0.29
8002,551.7578,-0.34
8024,556.6406,-0.29
8044,556.6406,-0.29
8065,561.5234,-0.24
8085,566.4063,-0.20
8107,561.5234,-0.24
8128,571.2891,-0.15
8151,595.7031,0.10
8171,600.5859,0.15
8192,615.2344,0.29
8213,634.7656,0.49
8233,664.0625,0.78
8254,703.1250,1.17
8274,756.8359,1.71
8296,844.7266,2.59
8316,961.9141,3.76
8337,1132.8125,5.47
8359,1406.2500,8.20
8381,1777.3437,11.91
8403,2285.1562,16.99
8427,2890.6250,23.05
8450,3481.4453,28.95
8472,3881.8359,32.96
8496,3940.4296,33.54
8518,3662.1093,30.76
8541,3134.7656,25.49
8564,2519.5312,19.34
8587,1967.7734,13.82
8609,1528.3203,9.42
8632,1225.5859,6.40
8653,996.0938,4.10
8674,844.7266,2.59
8695,737.3047,1.51
8716,659.1797,0.73
8736,605.4688,0.19
8758,571.2891,-0.15
8778,546.8750,-0.39
8799,532.2266,-0.54
8819,532.2266,-0.54
8841,532.2266,-0.54
8862,527.3438,-0.59
8885,532.2266,-0.54
8906,532.2266,-0.54
8927,532.2266,-0.54
8947,532.2266,-0.54
8968,537.1094,-0.49
8989,532.2266,-0.54
9011,537.1094,-0.49
9033,537.1094,-0.49
9055,537.1094,-0.49
9076,537.1094,-0.49
9097,537.1094,-0.49
9117,541.9922,-0.44
9139,532.2266,-0.54
9160,532.2266,-0.54
9183,532.2266,-0.54
9204,532.2266,-0.54
9226,527.3438,-0.59
9246,527.3438,-0.59
9267,527.3438,-0.59
9287,532.2266,-0.54
9309,532.2266,-0.54
9331,537.1094,-0.49
9353,561.5234,-0.24
9374,600.5859,0.15
9395,634.7656,0.49
9415,703.1250,1.17
9437,781.2500,1.95
9457,893.5547,3.08
9478,1064.4531,4.78
9500,1313.4765,7.27
9522,1665.0390,10.79
9544,2163.0859,15.77
9568,2773.4375,21.87
9590,3398.4375,28.12
9613,3847.6562,32.62
9636,3955.0781,33.69
9659,3691.4062,31.05
9681,3164.0625,25.78
9705,2553.7109,19.68
9728,2001.9531,14.16
9750,1562.5000,9.76
9773,1269.5312,6.84
9794,1059.5703,4.74
9816,908.2031,3.22
9837,815.4297,2.29
9858,742.1875,1.56
9878,693.3594,1.07
9900,654.2969,0.68
9920,625.0000,0.39
9940,605.4688,0.19
9962,585.9375,-0.00
9984,581.0547,-0.05
10005,566.4063,-0.20
10028,566.4063,-0.20
10051,561.5234,-0.24
10074,556.6406,-0.29
10095,551.7578,-0.34
10117,551.7578,-0.34
10139,556.6406,-0.29
10162,551.7578,-0.34
10185,561.5234,-0.24
10208,551.7578,-0.34
10229,556.6406,-0.29
10251,556.6406,-0.29
10273,551.7578,-0.34
10296,551.7578,-0.34
10319,556.6406,-0.29
10342,556.6406,-0.29
10363,561.5234,-0.24
10385,571.2891,-0.15
10406,576.1719,-0.10
10430,590.8203,0.05
10451,600.5859,0.15
10473,615.2344,0.29
10496,639.6484,0.54
10517,668.9453,0.83
10539,717.7734,1.32
10561,786.1328,2.00
10583,883.7891,2.98
10604,1035.1562,4.49
10628,1264.6484,6.79
10650,1596.6796,10.11
10674,2089.8437,15.04
10698,2700.1953,21.14
10722,3334.9609,27.49
10745,3818.3593,32.32
10770,3959.9609,33.74
10793,3745.1171,31.59
10817,3266.6015,26.81
10842,2641.6015,20.56
10865,2050.7812,14.65
10890,1557.6171,9.72
10912,1210.9375,6.25
10935,966.7969,3.81
10957,805.6641,2.20
10979,708.0078,1.22
11000,644.5313,0.59
11023,600.5859,0.15
11044,571.2891,-0.15
11066,541.9922,-0.44
11087,532.2266,-0.54
11110,537.1094,-0.49
11133,527.3438,-0.59
11156,527.3438,-0.59
11179,527.3438,-0.59
11200,532.2266,-0.54
11222,532.2266,-0.54
11244,537.1094,-0.49
11267,537.1094,-0.49
11290,537.1094,-0.49
11313,537.1094,-0.49
11334,537.1094,-0.49
11356,537.1094,-0.49
11377,541.9922,-0.44
11400,541.9922,-0.44
11423,537.1094,-0.49
11446,532.2266,-0.54
11467,532.2266,-0.54
11489,532.2266,-0.54
11510,527.3438,-0.59
11533,522.4609,-0.64
11556,532.2266,-0.54
11579,527.3438,-0.59
11601,537.1094,-0.49
11623,546.8750,-0.39
11644,561.5234,-0.24
11667,610.3516,0.24
11689,654.2969,0.68
11711,722.6563,1.37
11732,820.3125,2.34
11755,966.7969,3.81
11777,1176.7578,5.91
11799,1489.2578,9.03
11823,1933.5937,13.48
11846,2514.6484,19.29
11870,3193.3593,26.07
11894,3759.7656,31.74
11918,3979.4921,33.93
11941,3759.7656,31.74
11966,3222.6562,26.37
11990,2607.4218,20.21
12013,2041.0156,14.55
12038,1596.6796,10.11
12061,1279.2968,6.93
12085,1059.5703,4.74
12107,903.3203,3.17
12129,800.7813,2.15
12151,737.3047,1.51
12173,673.8281,0.88
12194,639.6484,0.54
12217,615.2344,0.29
12238,595.7031,0.10
12260,585.9375,-0.00
12283,571.2891,-0.15
12306,566.4063,-0.20
12327,561.5234,-0.24
12349,556.6406,-0.29
12370,556.6406,-0.29
12393,551.7578,-0.34
12417,556.6406,-0.29
12439,556.6406,-0.29
12461,556.6406,-0.29
12482,551.7578,-0.34
12504,551.7578,-0.34
12526,551.7578,-0.34
12550,556.6406,-0.29
12572,556.6406,-0.29
12594,556.6406,-0.29
12615,556.6406,-0.29
12637,561.5234,-0.24
12659,566.4063,-0.20
12683,571.2891,-0.15
12705,581.0547,-0.05
12728,595.7031,0.10
12749,620.1172,0.34
12772,634.7656,0.49
12793,664.0625,0.78
12815,717.7734,1.32
12837,791.0156,2.05
12859,893.5547,3.08
12880,1054.6875,4.69
12904,1293.9453,7.08
12926,1635.7421,10.50
12950,2109.3750,15.23
12975,2709.9609,21.24
12998,3325.1953,27.39
13022,3803.7109,32.18
13046,3964.8437,33.79
13070,3764.6484,31.79
13094,3281.2500,26.95
13118,2661.1328,20.75
13142,2065.4296,14.79
13166,1572.2656,9.86
13189,1220.7031,6.35
13211,976.5625,3.91
13234,810.5469,2.25
13255,703.1250,1.17
13277,634.7656,0.49
13299,595.7031,0.10
13321,566.4063,-0.20
13342,546.8750,-0.39
13365,537.1094,-0.49
13387,532.2266,-0.54
13411,532.2266,-0.54
13433,532.2266,-0.54
13455,532.2266,-0.54
13476,537.1094,-0.49
13498,537.1094,-0.49
13520,537.1094,-0.49
13544,537.1094,-0.49
13566,541.9922,-0.44
13588,537.1094,-0.49
13609,541.9922,-0.44
13631,537.1094,-0.49
13654,537.1094,-0.49
13676,537.1094,-0.49
13700,541.9922,-0.44
13722,537.1094,-0.49
13744,537.1094,-0.49
13765,532.2266,-0.54
13788,527.3438,-0.59
13810,532.2266,-0.54
13834,527.3438,-0.59
13856,532.2266,-0.54
13878,537.1094,-0.49
13899,546.8750,-0.39
13921,571.2891,-0.15
13943,605.4688,0.19
13966,644.5313,0.59
13987,712.8906,1.27
14009,805.6641,2.20
14031,957.0313,3.71
14053,1166.9921,5.81
14075,1499.0234,9.13
14099,1958.0078,13.72
14123,2578.1250,19.92
14146,3242.1875,26.56
14171,3774.4140,31.88
14194,3984.3750,33.98
14218,3769.5312,31.84
14242,3237.3046,26.51
14266,2602.5390,20.17
14290,2045.8984,14.60
14314,1611.3281,10.25
14338,1293.9453,7.08
14361,1074.2187,4.88
14384,922.8516,3.37
14405,815.4297,2.29
14428,732.4219,1.46
14449,673.8281,0.88
14471,634.7656,0.49
14493,610.3516,0.24
14515,595.7031,0.10
14536,576.1719,-0.10
14560,571.2891,-0.15
14582,561.5234,-0.24
14604,556.6406,-0.29
14625,556.6406,-0.29
14648,561.5234,-0.24
14670,561.5234,-0.24
14694,556.6406,-0.29
14716,551.7578,-0.34
14738,551.7578,-0.34
14759,556.6406,-0.29
14782,561.5234,-0.24
14804,551.7578,-0.34
14828,551.7578,-0.34
14851,556.6406,-0.29
14872,556.6406,-0.29
14894,556.6406,-0.29
14915,561.5234,-0.24
14938,561.5234,-0.24
14961,571.2891,-0.15
14984,581.0547,-0.05
15006,595.7031,0.10
15028,615.2344,0.29
15050,634.7656,0.49
15072,673.8281,0.88
15093,717.7734,1.32
15116,791.0156,2.05
15137,903.3203,3.17
15159,1064.4531,4.78
15182,1323.2421,7.37
15205,1684.5703,10.99
15228,2172.8515,15.87
15253,2744.1406,21.58
15277,3325.1953,27.39
15301,3793.9453,32.08
15325,3979.4921,33.93
15348,3789.0625,32.03
15373,3295.8984,27.10
15396,2661.1328,20.75
15420,2045.8984,14.60
15444,1547.8515,9.62
15467,1201.1718,6.15
15490,957.0313,3.71
15512,805.6641,2.20
15534,698.2422,1.12
15555,634.7656,0.49
15578,590.8203,0.05
15599,571.2891,-0.15
15621,546.8750,-0.39
15643,537.1094,-0.49
15667,532.2266,-0.54
15689,532.2266,-0.54
15711,532.2266,-0.54
15732,527.3438,-0.59
15754,527.3438,-0.59
15776,537.1094,-0.49
15799,527.3438,-0.59
15822,537.1094,-0.49
15845,537.1094,-0.49
15866,532.2266,-0.54
15888,537.1094,-0.49
15909,541.9922,-0.44
15932,541.9922,-0.44
15955,537.1094,-0.49
15978,537.1094,-0.49
16000,537.1094,-0.49
16021,537.1094,-0.49
16043,527.3438,-0.59
16065,532.2266,-0.54
16089,537.1094,-0.49
16111,527.3438,-0.59
16133,532.2266,-0.54
16154,537.1094,-0.49
16176,546.8750,-0.39
16198,566.4063,-0.20
16222,610.3516,0.24
16243,649.4141,0.63
16265,717.7734,1.32
16287,810.5469,2.25
16309,957.0313,3.71
16330,1171.8750,5.86
16354,1503.9062,9.18
16376,1982.4218,13.96
16400,2631.8359,20.46
16424,3300.7812,27.15
16448,3818.3593,32.32
16472,3979.4921,33.93
16496,3750.0000,31.64
16520,3247.0703,26.61
16543,2636.7187,20.51
16568,2089.8437,15.04
16591,1635.7421,10.50
16615,1308.5937,7.23
16638,1079.1015,4.93
16661,913.0859,3.27
16683,805.6641,2.20
16705,732.4219,1.46
16727,673.8281,0.88
16748,639.6484,0.54
16771,610.3516,0.24
16792,590.8203,0.05
16814,585.9375,-0.00
16837,566.4063,-0.20
16859,561.5234,-0.24
16880,561.5234,-0.24
16903,561.5234,-0.24
16925,551.7578,-0.34
16949,556.6406,-0.29
16971,551.7578,-0.34
16993,561.5234,-0.24
17014,551.7578,-0.34
17036,551.7578,-0.34
17058,551.7578,-0.34
17082,551.7578,-0.34
17104,551.7578,-0.34
17126,551.7578,-0.34
17147,551.7578,-0.34
17169,556.6406,-0.29
17191,566.4063,-0.20
17215,571.2891,-0.15
17238,576.1719,-0.10
17260,571.2891,-0.15
17282,595.7031,0.10
17304,610.3516,0.24
17326,634.7656,0.49
17347,673.8281,0.88
17370,732.4219,1.46
17391,805.6641,2.20
17413,917.9688,3.32
17435,1088.8671,5.03
17458,1333.0078,7.47
17480,1684.5703,10.99
17505,2172.8515,15.87
17528,2753.9062,21.68
17552,3334.9609,27.49
17576,3798.8281,32.13
17600,3989.2578,34.03
17624,3803.7109,32.18
17648,3320.3125,27.34
17672,2675.7812,20.90
17695,2041.0156,14.55
17720,1528.3203,9.42
17742,1181.6406,5.96
17766,942.3828,3.56
17787,795.8984,2.10
17809,693.3594,1.07
17831,634.7656,0.49
17853,595.7031,0.10
17874,566.4063,-0.20
17897,546.8750,-0.39
17921,532.2266,-0.54
17943,532.2266,-0.54
17966,532.2266,-0.54
17987,532.2266,-0.54
18009,527.3438,-0.59
18031,532.2266,-0.54
18054,532.2266,-0.54
18077,537.1094,-0.49
18100,537.1094,-0.49
18121,537.1094,-0.49
18143,532.2266,-0.54
18164,541.9922,-0.44
18187,537.1094,-0.49
18210,541.9922,-0.44
18233,532.2266,-0.54
18254,537.1094,-0.49
18276,532.2266,-0.54
18297,532.2266,-0.54
18320,532.2266,-0.54
18343,532.2266,-0.54
18366,522.4609,-0.64
18387,527.3438,-0.59
18409,537.1094,-0.49
18430,537.1094,-0.49
18453,546.8750,-0.39
18476,566.4063,-0.20
18499,605.4688,0.19
18521,644.5313,0.59
18542,712.8906,1.27
18565,810.5469,2.25
18586,966.7969,3.81
18608,1191.4062,6.05
18631,1538.0859,9.52
18654,2021.4843,14.35
18677,2661.1328,20.75
18702,3320.3125,27.34
18725,3833.0078,32.47
18749,3984.3750,33.98
18774,3745.1171,31.59
18797,3237.3046,26.51
18821,2646.4843,20.60
18845,2109.3750,15.23
18869,1660.1562,10.74
18893,1318.3593,7.32
18916,1083.9843,4.98
18938,908.2031,3.22
18961,800.7813,2.15
18982,722.6563,1.37
19004,668.9453,0.83
19026,634.7656,0.49
19048,615.2344,0.29
19069,585.9375,-0.00
19093,576.1719,-0.10
19116,571.2891,-0.15
19137,561.5234,-0.24
19159,566.4063,-0.20
19181,556.6406,-0.29
19205,561.5234,-0.24
19227,546.8750,-0.39
19249,556.6406,-0.29
19270,551.7578,-0.34
19292,551.7578,-0.34
19314,551.7578,-0.34
19338,546.8750,-0.39
19360,556.6406,-0.29
19382,551.7578,-0.34
19403,556.6406,-0.29
19425,556.6406,-0.29
19447,556.6406,-0.29
19471,561.5234,-0.24
19493,566.4063,-0.20
19515,571.2891,-0.15
19536,581.0547,-0.05
19559,595.7031,0.10
19581,610.3516,0.24
19603,644.5313,0.59
19624,683.5938,0.98
19647,737.3047,1.51
19668,825.1953,2.39
19690,947.2656,3.61
19713,1113.2812,5.27
19735,1372.0703,7.86
19758,1718.7500,11.33
19782,2187.5000,16.01
19806,2753.9062,21.68
19830,3344.7265,27.59
19854,3808.5937,32.23
19877,3979.4921,33.93
19902,3779.2968,31.93
19926,3261.7187,26.76
19949,2612.3046,20.26
19974,2001.9531,14.16
19997,1499.0234,9.13
20020,1162.1093,5.76
20043,927.7344,3.42
20065,786.1328,2.00
20086,688.4766,1.02
20109,625.0000,0.39
20130,595.7031,0.10
20152,571.2891,-0.15
20175,546.8750,-0.39
20198,541.9922,-0.44
20219,537.1094,-0.49
20241,527.3438,-0.59
20262,527.3438,-0.59
20285,532.2266,-0.54
20307,532.2266,-0.54
20331,537.1094,-0.49
20354,532.2266,-0.54
20375,532.2266,-0.54
20397,541.9922,-0.44
20418,541.9922,-0.44
20441,537.1094,-0.49
20464,537.1094,-0.49
20487,532.2266,-0.54
20508,537.1094,-0.49
20530,532.2266,-0.54
20551,532.2266,-0.54
20574,532.2266,-0.54
20597,537.1094,-0.49
20620,527.3438,-0.59
20641,527.3438,-0.59
20663,527.3438,-0.59
20684,537.1094,-0.49
20707,541.9922,-0.44
20730,546.8750,-0.39
20753,566.4063,-0.20
20775,600.5859,0.15
20797,649.4141,0.63
20819,717.7734,1.32
20841,825.1953,2.39
20862,991.2109,4.05
20884,1235.3515,6.49
20908,1606.4453,10.20
20931,2128.9062,15.43
20956,2778.3203,21.92
20979,3413.0859,28.27
21003,3867.1875,32.81
21027,3974.6093,33.89
21051,3725.5859,31.40
21074,3217.7734,26.32
21099,2622.0703,20.36
21123,2065.4296,14.79
21146,1621.0937,10.35
21171,1293.9453,7.08
21193,1064.4531,4.78
21216,903.3203,3.17
21238,795.8984,2.10
21260,717.7734,1.32
21281,664.0625,0.78
21304,629.8828,0.44
21325,605.4688,0.19
21347,590.8203,0.05
21369,581.0547,-0.05
21392,571.2891,-0.15
21414,561.5234,-0.24
21437,561.5234,-0.24
21460,561.5234,-0.24
21483,556.6406,-0.29
21505,556.6406,-0.29
21526,556.6406,-0.29
21549,551.7578,-0.34
21571,551.7578,-0.34
21595,551.7578,-0.34
21617,551.7578,-0.34
21639,556.6406,-0.29
21660,556.6406,-0.29
21682,551.7578,-0.34
21704,556.6406,-0.29
21728,556.6406,-0.29
21750,566.4063,-0.20
21772,566.4063,-0.20
21793,571.2891,-0.15
21815,585.9375,-0.00
21838,595.7031,0.10
21860,620.1172,0.34
21881,649.4141,0.63
21904,688.4766,1.02
21925,756.8359,1.71
21947,844.7266,2.59
21969,966.7969,3.81
21991,1137.6953,5.52
22013,1406.2500,8.20
22037,1752.9296,11.67
22061,2226.5625,16.41
22084,2788.0859,22.02
22109,3378.9062,27.93
22132,3823.2421,32.37
22156,3979.4921,33.93
22180,3754.8828,31.69
22204,3203.1250,26.17
22227,2534.1796,19.48
22252,1918.9453,13.33
22276,1450.1953,8.64
22299,1137.6953,5.52
22322,922.8516,3.37
22343,781.2500,1.95
22366,693.3594,1.07
22387,639.6484,0.54
22409,590.8203,0.05
22431,566.4063,-0.20
22454,551.7578,-0.34
22475,541.9922,-0.44
22497,532.2266,-0.54
22518,532.2266,-0.54
22541,527.3438,-0.59
22564,532.2266,-0.54
22587,532.2266,-0.54
22609,532.2266,-0.54
22631,537.1094,-0.49
22652,537.1094,-0.49
22675,537.1094,-0.49
22697,537.1094,-0.49
22721,541.9922,-0.44
22744,532.2266,-0.54
22765,537.1094,-0.49
22787,537.1094,-0.49
22808,532.2266,-0.54
22831,532.2266,-0.54
22854,532.2266,-0.54
22877,532.2266,-0.54
22898,532.2266,-0.54
22920,522.4609,-0.64
22941,537.1094,-0.49
22964,532.2266,-0.54
22987,537.1094,-0.49
23010,546.8750,-0.39
23031,561.5234,-0.24
23053,600.5859,0.15
23074,654.2969,0.68
23097,727.5391,1.42
23118,844.7266,2.59
23140,1015.6250,4.30
23163,1289.0625,7.03
23186,1674.8046,10.89
23209,2226.5625,16.41
23234,2871.0937,22.85
23258,3486.3281,29.00
23281,3891.6015,33.06
23306,3974.6093,33.89
23329,3701.1718,31.15
23354,3188.4765,26.02
23377,2602.5390,20.17
23401,2036.1328,14.50
23426,1596.6796,10.11
23449,1259.7656,6.74
23472,1030.2734,4.44
23495,874.0234,2.88
23517,781.2500,1.95
23538,708.0078,1.22
23561,659.1797,0.73
23582,629.8828,0.44
23604,610.3516,0.24
23626,590.8203,0.05
23648,585.9375,-0.00
23670,576.1719,-0.10
23694,566.4063,-0.20
23716,566.4063,-0.20
23738,561.5234,-0.24
23759,556.6406,-0.29
23782,556.6406,-0.29
23804,556.6406,-0.29
23828,556.6406,-0.29
23851,546.8750,-0.39
23872,556.6406,-0.29
23894,546.8750,-0.39
23916,556.6406,-0.29
23939,556.6406,-0.29
23962,556.6406,-0.29
23985,556.6406,-0.29
24006,556.6406,-0.29
24028,561.5234,-0.24
24050,566.4063,-0.20
24073,571.2891,-0.15
24096,581.0547,-0.05
24119,595.7031,0.10
