Time(ms),Hall(mV),B(mT)
9617,541.9922,-0.44
9637,532.2266,-0.54
9659,541.9922,-0.44
9680,537.1094,-0.49
9703,532.2266,-0.54
9724,537.1094,-0.49
9746,541.9922,-0.44
9766,541.9922,-0.44
9787,541.9922,-0.44
9808,537.1094,-0.49
9830,537.1094,-0.49
9852,537.1094,-0.49
9874,541.9922,-0.44
9894,532.2266,-0.54
9915,537.1094,-0.49
9935,537.1094,-0.49
9956,537.1094,-0.49
9977,532.2266,-0.54
10000,537.1094,-0.49
10022,551.7578,-0.34
10044,576.1719,-0.10
10066,615.2344,0.29
10089,673.8281,0.88
10110,776.3672,1.90
10132,937.5000,3.51
10155,1186.5234,6.01
10177,1621.0937,10.35
10201,2290.0390,17.04
10225,3154.2968,25.68
10249,3886.7187,33.01
10272,4023.4375,34.37
10297,3461.9140,28.76
10320,2597.6562,20.12
10344,1845.7031,12.60
10369,1313.4765,7.27
10391,996.0938,4.10
10413,815.4297,2.29
10435,698.2422,1.12
10457,629.8828,0.44
10478,590.8203,0.05
10501,566.4063,-0.20
10522,551.7578,-0.34
10544,541.9922,-0.44
10565,537.1094,-0.49
10588,537.1094,-0.49
10611,537.1094,-0.49
10634,541.9922,-0.44
10656,546.8750,-0.39
10678,541.9922,-0.44
10699,546.8750,-0.39
10722,551.7578,-0.34
10744,541.9922,-0.44
10768,551.7578,-0.34
10790,546.8750,-0.39
10812,541.9922,-0.44
10833,546.8750,-0.39
10855,541.9922,-0.44
10877,541.9922,-0.44
10901,541.9922,-0.44
10924,546.8750,-0.39
10945,556.6406,-0.29
10967,576.1719,-0.10
10989,600.5859,0.15
11012,644.5313,0.59
11033,732.4219,1.46
11055,883.7891,2.98
11077,1132.8125,5.47
11100,1557.6171,9.72
11122,2197.2656,16.11
11147,3027.3437,24.41
11170,3784.1796,31.98
11194,4047.8515,34.62
11218,3696.2890,31.10
11242,2939.4531,23.53
11267,2128.9062,15.43
11290,1494.1406,9.08
11313,1093.7500,5.08
11336,844.7266,2.59
11358,712.8906,1.27
11379,629.8828,0.44
11402,581.0547,-0.05
11424,561.5234,-0.24
11446,537.1094,-0.49
11468,541.9922,-0.44
11491,532.2266,-0.54
11514,537.1094,-0.49
11537,537.1094,-0.49
11558,541.9922,-0.44
11580,537.1094,-0.49
11601,537.1094,-0.49
11624,541.9922,-0.44
11648,546.8750,-0.39
11670,541.9922,-0.44
11692,537.1094,-0.49
11713,541.9922,-0.44
11735,541.9922,-0.44
11757,537.1094,-0.49
11780,537.1094,-0.49
11803,537.1094,-0.49
11826,537.1094,-0.49
11847,537.1094,-0.49
11869,551.7578,-0.34
11890,571.2891,-0.15
11913,629.8828,0.44
11935,703.1250,1.17
11957,810.5469,2.25
11978,1000.9766,4.15
12002,1328.1250,7.42
12024,1840.8203,12.55
12048,2607.4218,20.21
12072,3452.1484,28.66
12096,4003.9062,34.18
12121,3901.3671,33.15
12144,3217.7734,26.32
12168,2348.6328,17.63
12192,1655.2734,10.69
12216,1186.5234,6.01
12238,913.0859,3.27
12261,761.7188,1.76
12282,664.0625,0.78
12304,615.2344,0.29
12326,576.1719,-0.10
12349,566.4063,-0.20
12370,546.8750,-0.39
12393,541.9922,-0.44
12416,541.9922,-0.44
12439,541.9922,-0.44
12462,541.9922,-0.44
12483,546.8750,-0.39
12505,541.9922,-0.44
12526,541.9922,-0.44
12549,546.8750,-0.39
12572,541.9922,-0.44
12595,541.9922,-0.44
12616,541.9922,-0.44
12638,546.8750,-0.39
12659,537.1094,-0.49
12682,541.9922,-0.44
12705,541.9922,-0.44
12728,541.9922,-0.44
12749,541.9922,-0.44
12771,546.8750,-0.39
12792,561.5234,-0.24
12815,581.0547,-0.05
12838,615.2344,0.29
12860,683.5938,0.98
12881,786.1328,2.00
12904,981.4453,3.95
12925,1303.7109,7.18
12948,1806.6406,12.21
12973,2558.5937,19.73
12996,3383.7890,27.98
13020,3959.9609,33.74
13044,3989.2578,34.03
13068,3408.2031,28.22
13092,2578.1250,19.92
13116,1816.4062,12.30
13139,1274.4140,6.88
13163,966.7969,3.81
13185,781.2500,1.95
13206,678.7109,0.93
13229,615.2344,0.29
13250,571.2891,-0.15
13272,546.8750,-0.39
13293,532.2266,-0.54
13316,537.1094,-0.49
13339,537.1094,-0.49
13362,537.1094,-0.49
13383,537.1094,-0.49
13405,541.9922,-0.44
13426,541.9922,-0.44
13449,537.1094,-0.49
13472,541.9922,-0.44
13495,537.1094,-0.49
13516,541.9922,-0.44
13538,541.9922,-0.44
13559,541.9922,-0.44
13582,537.1094,-0.49
13604,541.9922,-0.44
13628,532.2266,-0.54
13650,532.2266,-0.54
13672,537.1094,-0.49
13693,546.8750,-0.39
13716,561.5234,-0.24
13739,600.5859,0.15
13761,654.2969,0.68
13783,742.1875,1.56
13804,878.9063,2.93
13827,1113.2812,5.27
13849,1494.1406,9.08
13872,2080.0781,14.94
13896,2880.8593,22.95
13920,3671.8750,30.86
13944,4057.6171,34.72
13968,3715.8203,31.30
13991,2900.3906,23.14
14016,2065.4296,14.79
14040,1455.0781,8.69
14062,1083.9843,4.98
14086,864.2578,2.78
14107,732.4219,1.46
14129,654.2969,0.68
14151,605.4688,0.19
14173,576.1719,-0.10
14195,561.5234,-0.24
14218,541.9922,-0.44
14241,537.1094,-0.49
14264,546.8750,-0.39
14285,541.9922,-0.44
14307,541.9922,-0.44
14328,541.9922,-0.44
14351,541.9922,-0.44
14374,541.9922,-0.44
14397,541.9922,-0.44
14418,541.9922,-0.44
14440,541.9922,-0.44
14461,541.9922,-0.44
14484,541.9922,-0.44
14508,541.9922,-0.44
14530,541.9922,-0.44
14552,537.1094,-0.49
14573,541.9922,-0.44
14595,541.9922,-0.44
14617,546.8750,-0.39
14641,561.5234,-0.24
14663,585.9375,-0.00
14686,634.7656,0.49
14707,712.8906,1.27
14730,849.6094,2.64
14751,1074.2187,4.88
14774,1450.1953,8.64
14797,2016.6015,14.31
14821,2812.5000,22.26
14844,3608.3984,30.22
14869,4042.9687,34.57
14893,3823.2421,32.37
14917,3110.3515,25.24
14941,2290.0390,17.04
14964,1616.2109,10.30
14989,1166.9921,5.81
15011,893.5547,3.08
15033,737.3047,1.51
15055,654.2969,0.68
15077,595.7031,0.10
15098,566.4063,-0.20
15121,551.7578,-0.34
15144,541.9922,-0.44
15167,537.1094,-0.49
15188,537.1094,-0.49
15210,537.1094,-0.49
15232,532.2266,-0.54
15254,532.2266,-0.54
15278,541.9922,-0.44
15300,541.9922,-0.44
15322,541.9922,-0.44
15343,537.1094,-0.49
15365,537.1094,-0.49
15387,537.1094,-0.49
15411,541.9922,-0.44
15433,541.9922,-0.44
15456,532.2266,-0.54
15477,537.1094,-0.49
15499,527.3438,-0.59
15521,537.1094,-0.49
15544,546.8750,-0.39
15567,571.2891,-0.15
15590,615.2344,0.29
15611,683.5938,0.98
15633,791.0156,2.05
15655,952.1484,3.66
15677,1220.7031,6.35
15699,1665.0390,10.79
15724,2363.2812,17.77
15748,3217.7734,26.32
15771,3916.0156,33.30
15796,4003.9062,34.18
15819,3432.6171,28.47
15844,2578.1250,19.92
15867,1821.2890,12.35
15891,1303.7109,7.18
15915,991.2109,4.05
15936,815.4297,2.29
15958,703.1250,1.17
15980,629.8828,0.44
16002,595.7031,0.10
16023,566.4063,-0.20
16046,546.8750,-0.39
16069,541.9922,-0.44
16092,537.1094,-0.49
16113,541.9922,-0.44
16135,546.8750,-0.39
16156,546.8750,-0.39
16179,546.8750,-0.39
16202,546.8750,-0.39
16225,541.9922,-0.44
16246,537.1094,-0.49
16268,541.9922,-0.44
16289,541.9922,-0.44
16312,537.1094,-0.49
16335,541.9922,-0.44
16358,541.9922,-0.44
16379,541.9922,-0.44
16401,541.9922,-0.44
16422,541.9922,-0.44
16445,541.9922,-0.44
16467,556.6406,-0.29
16491,581.0547,-0.05
16514,600.5859,0.15
16535,654.2969,0.68
16558,751.9531,1.66
16579,903.3203,3.17
16601,1162.1093,5.76
16624,1596.6796,10.11
16648,2290.0390,17.04
16671,3125.0000,25.39
16696,3837.8906,32.52
16719,4047.8515,34.62
16743,3647.4609,30.61
16768,2861.3281,22.75
16791,2070.3125,14.84
16816,1455.0781,8.69
16838,1069.3359,4.83
16861,830.0781,2.44
16883,703.1250,1.17
16905,629.8828,0.44
16926,585.9375,-0.00
16950,561.5234,-0.24
16972,541.9922,-0.44
16994,541.9922,-0.44
17015,532.2266,-0.54
17037,532.2266,-0.54
17059,537.1094,-0.49
17082,537.1094,-0.49
17105,541.9922,-0.44
17128,537.1094,-0.49
17149,537.1094,-0.49
17171,541.9922,-0.44
17192,541.9922,-0.44
17215,541.9922,-0.44
17239,537.1094,-0.49
17261,537.1094,-0.49
17283,537.1094,-0.49
17304,537.1094,-0.49
17326,532.2266,-0.54
17348,532.2266,-0.54
17372,541.9922,-0.44
17394,556.6406,-0.29
17416,581.0547,-0.05
17438,615.2344,0.29
17461,683.5938,0.98
17482,781.2500,1.95
17504,947.2656,3.61
17526,1215.8203,6.30
17549,1665.0390,10.79
17572,2358.3984,17.72
17597,3203.1250,26.17
17620,3896.4843,33.10
17644,4023.4375,34.37
17669,3491.2109,29.05
17692,2636.7187,20.51
17716,1865.2343,12.79
17740,1318.3593,7.32
17763,991.2109,4.05
17784,810.5469,2.25
17807,703.1250,1.17
17828,634.7656,0.49
17850,595.7031,0.10
17872,571.2891,-0.15
17894,551.7578,-0.34
17915,541.9922,-0.44
17937,541.9922,-0.44
17959,537.1094,-0.49
17983,541.9922,-0.44
18006,537.1094,-0.49
18027,546.8750,-0.39
18049,546.8750,-0.39
18070,551.7578,-0.34
18093,546.8750,-0.39
18115,537.1094,-0.49
18139,541.9922,-0.44
18161,537.1094,-0.49
18183,541.9922,-0.44
18204,546.8750,-0.39
18226,541.9922,-0.44
18248,541.9922,-0.44
18272,541.9922,-0.44
18294,546.8750,-0.39
18316,556.6406,-0.29
18337,576.1719,-0.10
18360,605.4688,0.19
18382,654.2969,0.68
18404,742.1875,1.56
18425,893.5547,3.08
18448,1162.1093,5.76
18470,1586.9140,10.01
18494,2255.8593,16.70
18519,3076.1718,24.90
18542,3803.7109,32.18
18567,4062.5000,34.77
18590,3676.7578,30.91
18614,2890.6250,23.05
18638,2084.9609,14.99
18662,1464.8437,8.79
18684,1083.9843,4.98
18708,849.6094,2.64
18729,712.8906,1.27
18751,634.7656,0.49
18774,585.9375,-0.00
18796,561.5234,-0.24
18818,541.9922,-0.44
18840,541.9922,-0.44
18863,537.1094,-0.49
18886,537.1094,-0.49
18909,537.1094,-0.49
18930,532.2266,-0.54
18952,537.1094,-0.49
18973,537.1094,-0.49
18996,537.1094,-0.49
19019,541.9922,-0.44
19042,541.9922,-0.44
19063,541.9922,-0.44
19085,541.9922,-0.44
19106,532.2266,-0.54
19129,532.2266,-0.54
19152,537.1094,-0.49
19175,532.2266,-0.54
19197,537.1094,-0.49
19219,537.1094,-0.49
19240,546.8750,-0.39
19263,571.2891,-0.15
19286,639.6484,0.54
19308,712.8906,1.27
19330,830.0781,2.44
19351,1040.0390,4.54
19375,1376.9531,7.91
19397,1899.4140,13.13
19422,2651.3671,20.65
19445,3491.2109,29.05
19469,4023.4375,34.37
19493,3896.4843,33.10
19517,3168.9453,25.83
19540,2304.6875,17.19
19565,1625.9765,10.40
19589,1171.8750,5.86
19611,917.9688,3.32
19634,766.6016,1.81
19655,668.9453,0.83
19677,620.1172,0.34
19699,590.8203,0.05
19721,571.2891,-0.15
19742,551.7578,-0.34
19765,546.8750,-0.39
19788,537.1094,-0.49
19811,541.9922,-0.44
19832,541.9922,-0.44
19854,537.1094,-0.49
19875,537.1094,-0.49
19898,541.9922,-0.44
19920,541.9922,-0.44
19944,546.8750,-0.39
19966,546.8750,-0.39
19988,537.1094,-0.49
20009,546.8750,-0.39
20031,541.9922,-0.44
20054,541.9922,-0.44
20077,537.1094,-0.49
20100,541.9922,-0.44
20121,541.9922,-0.44
20143,546.8750,-0.39
20164,551.7578,-0.34
20187,581.0547,-0.05
20210,620.1172,0.34
20232,688.4766,1.02
20253,800.7813,2.15
20276,991.2109,4.05
20297,1298.8281,7.13
20320,1806.6406,12.21
20344,2543.9453,19.58
20368,3388.6718,28.03
20391,3969.7265,33.84
20416,3979.4921,33.93
20440,3393.5546,28.08
20464,2568.3593,19.82
20488,1835.9375,12.50
20511,1303.7109,7.18
20535,986.3281,4.00
20556,795.8984,2.10
20578,678.7109,0.93
20600,615.2344,0.29
20622,576.1719,-0.10
20644,561.5234,-0.24
20667,541.9922,-0.44
20690,537.1094,-0.49
20713,532.2266,-0.54
20734,532.2266,-0.54
20756,537.1094,-0.49
20777,532.2266,-0.54
20800,541.9922,-0.44
20824,537.1094,-0.49
20846,541.9922,-0.44
20868,537.1094,-0.49
20889,537.1094,-0.49
20911,541.9922,-0.44
20933,537.1094,-0.49
20956,537.1094,-0.49
20979,537.1094,-0.49
21002,532.2266,-0.54
21023,537.1094,-0.49
21045,532.2266,-0.54
21066,541.9922,-0.44
21089,556.6406,-0.29
21112,590.8203,0.05
21134,634.7656,0.49
21155,708.0078,1.22
21178,820.3125,2.34
21199,1010.7422,4.25
21222,1333.0078,7.47
21245,1835.9375,12.50
21269,2583.0078,19.97
21293,3432.6171,28.47
21317,4013.6718,34.28
21341,3925.7812,33.40
21364,3242.1875,26.56
21389,2402.3437,18.16
21412,1694.3359,11.08
21436,1220.7031,6.35
21459,937.5000,3.51
21481,776.3672,1.90
21502,678.7109,0.93
21525,620.1172,0.34
21547,585.9375,-0.00
21569,561.5234,-0.24
21593,551.7578,-0.34
21615,541.9922,-0.44
21637,537.1094,-0.49
21658,541.9922,-0.44
21681,541.9922,-0.44
21703,541.9922,-0.44
21727,541.9922,-0.44
21749,541.9922,-0.44
21771,546.8750,-0.39
21792,546.8750,-0.39
21814,551.7578,-0.34
21836,546.8750,-0.39
21860,541.9922,-0.44
21882,541.9922,-0.44
21904,546.8750,-0.39
21925,537.1094,-0.49
21947,546.8750,-0.39
21969,546.8750,-0.39
21993,546.8750,-0.39
22016,561.5234,-0.24
22037,585.9375,-0.00
22060,615.2344,0.29
22082,688.4766,1.02
22104,795.8984,2.10
22125,976.5625,3.91
22148,1284.1796,6.98
22170,1787.1093,12.01
22194,2529.2968,19.43
22218,3369.1406,27.83
22242,3964.8437,33.79
22265,3984.3750,33.98
22290,3437.5000,28.51
22313,2626.9531,20.41
22337,1875.0000,12.89
22362,1328.1250,7.42
22384,991.2109,4.05
22406,805.6641,2.20
22428,688.4766,1.02
22450,620.1172,0.34
22471,576.1719,-0.10
22495,556.6406,-0.29
22516,541.9922,-0.44
22538,537.1094,-0.49
22559,532.2266,-0.54
22582,532.2266,-0.54
22605,532.2266,-0.54
22628,541.9922,-0.44
22649,537.1094,-0.49
22671,537.1094,-0.49
22692,537.1094,-0.49
22715,546.8750,-0.39
22737,541.9922,-0.44
22761,537.1094,-0.49
22784,541.9922,-0.44
22805,537.1094,-0.49
22827,537.1094,-0.49
22848,532.2266,-0.54
22871,541.9922,-0.44
22894,532.2266,-0.54
22917,541.9922,-0.44
22938,556.6406,-0.29
22960,590.8203,0.05
22981,634.7656,0.49
23004,698.2422,1.12
23025,815.4297,2.29
23047,1005.8594,4.20
23070,1323.2421,7.37
23093,1826.1718,12.40
23116,2568.3593,19.82
23141,3413.0859,28.27
23164,3984.3750,33.98
23189,3950.1953,33.64
23213,3310.5468,27.25
23236,2451.1718,18.65
23261,1713.8671,11.28
23284,1230.4687,6.44
23307,947.2656,3.61
23329,781.2500,1.95
23351,688.4766,1.02
23372,629.8828,0.44
23395,590.8203,0.05
23416,566.4063,-0.20
23438,551.7578,-0.34
23459,541.9922,-0.44
23482,537.1094,-0.49
23505,541.9922,-0.44
23528,541.9922,-0.44
23549,546.8750,-0.39
23571,546.8750,-0.39
23592,546.8750,-0.39
23615,546.8750,-0.39
23639,546.8750,-0.39
23661,546.8750,-0.39
23683,546.8750,-0.39
23704,541.9922,-0.44
23726,541.9922,-0.44
23748,541.9922,-0.44
23772,546.8750,-0.39
23794,546.8750,-0.39
23816,541.9922,-0.44
23837,546.8750,-0.39
23859,556.6406,-0.29
23881,581.0547,-0.05
23905,620.1172,0.34
23926,673.8281,0.88
23948,786.1328,2.00
23970,966.7969,3.81
23992,1259.7656,6.74
24014,1752.9296,11.67
24039,2465.8203,18.80
